Token,Weight
c2nc(C),0.010547079512267507
(,0.010539105622236136
c2c(,0.010394299774881842
(=O)o,0.010097046796213574
ccc4,0.010080274125870465
[C@H](NC(=O),0.010076162277215882
c3)cc,0.010060475828591913
OCC2,0.010004759446814516
CC(C),0.009973231477737068
oc(=O),0.00992604641672061
C1)C2,0.009906880582431148
c1cc2cc(,0.009865498297426986
N=,0.009864665393808288
CCO),0.009847544349151393
c2C1,0.009754704280452721
n3,0.00972594694556054
c(NC(=O),0.009695672018790137
COc1cc(,0.009691970560526193
ncc3,0.009608328430253174
nc2,0.009594638544115387
sc2,0.009558582726981485
C#N),0.009511801612982188
n,0.009443622655350311
c3cc4ccccc4,0.009416253655657531
cc(O),0.009407087682082746
(C)C,0.009405133540447384
CN,0.009211643392661315
\,0.009110283167544642
C=C2,0.009036903109854524
Oc1cc(,0.00899534065688287
C(=O)N1CC,0.008963618617566496
-c2ccc(,0.008920415919586075
c3cc4,0.00883772765275528
Cc1ccc2c(c1),0.008717393723148526
ccc1,0.00870690926613461
Cc1ccccc1,0.008678197918797677
cc4,0.008630542266178617
CC(C)(C)O,0.008583086602512469
n(C),0.008570384813628627
Cl)cc(Cl),0.008504397550648605
-c2cn,0.008469331549624374
nc(,0.008413177701916522
CCN1,0.008400818683802228
CC1(C),0.008388938392225
cc2,0.008384707995249442
C(F)(F)F),0.008289019107887924
C2(,0.008243202177426478
N1CCN(C(=O),0.00823157118195154
c(,0.008194523545307046
nc2cc1,0.008159898163482717
N1CCC(,0.008106284719445531
c1ccc(,0.008102473891105957
[C@]2(,0.008076723102351826
Cc2ccc(,0.00806808917802886
C(=O)N1CCN(,0.007999299748385353
cc3),0.00798149782458713
C=,0.007912202628193301
c1nc2c(,0.007810754757523512
CC1(C)C,0.0078051789717948315
C2=,0.007786889861632802
C[C@@H](CO),0.007701759629754149
c2o,0.007654664165785388
C(N)=O),0.007645503603545523
C(F)(F)F)cc,0.007637908747431022
C(=O)N1CCC(,0.007577667896209997
cc(C),0.007458321071709418
C[C@@H](NC(=O),0.007357046326275236
N1CC,0.007347385264229295
C=C,0.007343362022804764
CCC1,0.007302094346815194
C(F)(F)F,0.0072433258034417195
nc(-,0.007186823281844462
nn2,0.007053555747332585
[C@H](,0.006862491812689335
CC(N,0.006854044020836907
cnc2,0.006834739479420715
CC3,0.006777011512108216
C#N,0.006753418442454084
F)cc(,0.0067396037700961
c3ncc,0.006727912893232216
c2n1,0.006691600911697506
=C(,0.006652200287189304
c3cc(C(=O)N,0.00663987307553559
=O),0.006636059169002113
Cl),0.006583289608674952
O=C1,0.006578069095467825
ncn,0.006554101768906356
[C@@]3,0.006532689705272364
CC=,0.006469646482543395
O=C(O),0.006407792916047423
cccc1,0.006407135898880647
c1cccc(Cl)c1,0.006377407821543725
F)c(F),0.006353489021124082
n(,0.006277886044984584
c2ccc(C(=O)N,0.006235099219330385
c4cccc5,0.006228523865518932
C=C1,0.006185287624719796
c2cc3ccccc3,0.00617711527837774
Cc1ccc2c(,0.006165260279335153
c3ccc4c(c3),0.006121654594531328
c4ccc(,0.00610936322579435
c2cccc(-,0.006098310622111717
F)cc1,0.006047816723748614
c(=O),0.00603146197116899
nn1),0.0060251407045525136
COc1cc2,0.006021492519048496
n3),0.006016998914909939
Cl)cc,0.005985539531797829
